legDivision,legType,divAbbv
UnitedKingdomRoyalProclamation, Primary,ukrp
WelshParliamentAct, Primary,asc
NorthernIrelandStatutoryRuleOrOrder, Secondary,nisro
UnitedKingdomOrderInOrOfCouncil, United Kingdom Order,ukoioc
ScottishAct, Primary,asp
UnitedKingdomLettersPatent, Primary,uklp
UnitedKingdomStatutoryRuleOrOrder, Secondary,uksro
NorthernIrelandOrderInCouncil, Primary,nisi
EnglandAct, Primary,aep
UnitedKingdomMinisterialOrder, Secondary,ukmo
ScottishOldAct, Primary,aosp
UnitedKingdomPublicGeneralAct, Primary,ukpga
EuropeanUnionDecision, European Union Legislation,eud
UnitedKingdomRoyalInstructions, Primary,ukri
UnitedKingdomChurchMeasure, Primary,ukcm
GreatBritainPrivateOrPersonalAct, Primary,gbppa
IrelandAct, Primary,aip
EuropeanUnionRegulation, European Union Legislation,eur
NorthernIrelandAct, Primary,nia
UnitedKingdomMinisterialDirection, Secondary,ukmd
WelshAssemblyMeasure, Primary,mwa
EnglandPrivateOrPersonalAct, Primary,eppa
GreatBritainAct, Primary,apgb
UnitedKingdomStatutoryInstrument, Secondary,uksi
GreatBritainLocalAct, Primary,gbla
NorthernIrelandAssemblyMeasure, Primary,mnia
NorthernIrelandParliamentAct, Primary,apni
NorthernIrelandStatutoryRule, Secondary,nisr
ScottishStatutoryInstrument, Secondary,ssi
UnitedKingdomChurchInstrument, Secondary,ukci
UnitedKingdomLocalAct, Primary,ukla
WelshNationalAssemblyAct, Primary,anaw
EuropeanUnionTreaty, European Union Legislation,eut
UnitedKingdomRoyalCharter, Primary,ukrc
UnitedKingdomPrivateOrPersonalAct, Primary,ukppa
WelshStatutoryInstrument,Secondary,wsi
UnitedKingdomOrder,United Kingdom Order,uko
UnitedKingdomOrderInCouncil,United Kingdom Order,ukoic
UnitedKingdomOrderOfCouncil,United Kingdom Order,ukooc
EuropeanUnionDecision,European Union Legislation,eudn
EuropeanUnionDirective,European Union Legislation,eudr
